start_date,end_date,proposal_id,programme_name,sub_programme,supplement,research_body,research_body_ror_id,funder_name,crossref_funder_registry_id,proposal_title,current_total_commitment
2001-10-01,2007-03-31,00/PI.1/B038,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Establishing functional proteomic maps of proteins involved in apoptosis,5471668.03
2001-10-01,2006-12-04,00/PI.1/B045,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Pathogen-derived immunomodulatory molecules: future immunotherapeutics and vaccines,8069351.7
2001-10-01,2006-12-04,00/PI.1/B052,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Functional Organisation of Eukaryotic Genomes,5632098.22
2001-11-01,2007-04-04,00/PI.1/C067,Principal Investigator Programme,NA,NA,Maynooth University (MU),https://ror.org/048nfjm95,Science Foundation Ireland,10.13039/501100001602,Centre for the analysis and design of interacting computer controlled systems,7939335.11
2001-12-01,2006-11-05,00/PI.1/C017,Principal Investigator Programme,NA,NA,Technological University Dublin (TU Dublin),https://ror.org/04t0qbt32,Science Foundation Ireland,10.13039/501100001602,Measurement-Based Resource Management in Communication Networks.,2993354.6
2001-12-01,2007-05-04,00/PI.1/C028,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Nanostructures and Molecule Mechanics.,7567188.72
2001-12-01,2006-11-05,00/PI.1/C042,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Studies of Surfaces and Interfaces of Magnetic Spinel Oxides.,7785757.07
2001-12-01,2006-11-05,00/PI.1/C043A,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Conception and Implementation of Nanoscale Spin Electronics (CINSE),7458077.04
2001-12-01,2007-02-28,00/PI.1/C072,Principal Investigator Programme,NA,NA,Tyndall National Institute (TNI),https://ror.org/007ecwd34,Science Foundation Ireland,10.13039/501100001602,The Physics of Next Generation ICT Photonic Devices..,6343003
2001-12-01,2006-11-05,00/PI.1/C075,Principal Investigator Programme,NA,NA,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Constraint Computation: Automation and Application,8240514.66
2001-12-01,2007-05-04,00/PI.1/C077A.2,Principal Investigator Programme,NA,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,Atomtronics: Nanoscale Science and Technology for Future Information.,8287672.71
2002-04-01,2007-03-06,01/F.1/C004,Principal Investigator Programme,Fellow Award,NA,University College Cork (UCC),https://ror.org/03265fv13,Science Foundation Ireland,10.13039/501100001602,Sensitivity Analysis Solution Stability and Uncertainty in Constraint Programming,651381.52
2002-04-01,2007-03-06,01/F.1/C015,Principal Investigator Programme,Fellow Award,NA,University College Dublin (UCD),https://ror.org/05m7pjf47,Science Foundation Ireland,10.13039/501100001602,Reliable and Scalable Information Services,648628.13
2002-06-01,2007-11-02,01/F.1/B006,Principal Investigator Programme,Fellow Award,NA,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Science Foundation Ireland,10.13039/501100001602,A molecular genetic approach to elucidate brain wiring mechanisms in mouse,1814153.9
