individual,year,year_recode,season,locality,sex,body_mass_grams,body_condition_index,straight_carapace_length_mm
1,2008,1,Summer,Plateau,m,1230,6.717640634,183.1
1,2009,2,Summer,Plateau,m,1271,6.901607298,184.16
1,2010,3,Spring,Plateau,m,1239,6.672051696,185.7
1,2011,4,Spring,Plateau,m,1205,6.457663451,186.6
1,2011,4,Summer,Plateau,m,1300,7.131102578,182.3
1,2014,7,Summer,Plateau,m,1269,6.84097035,185.5
1,2016,9,Summer,Plateau,m,1302,7.037837838,185
1,2017,10,Spring,Plateau,m,1230,6.79558011,181
1,2018,11,Spring,Plateau,m,1305,7.092391304,184
1,2019,12,Spring,Plateau,m,1245,6.766304348,184
1,2020,13,Summer,Plateau,m,1194,6.35106383,188
1,2020,13,Summer,Plateau,m,1291,6.903743316,187
10,2008,1,Spring,Beach,f,918,5.32173913,172.5
10,2009,2,Spring,Beach,f,956,5.634134842,169.68
10,2009,2,Summer,Beach,f,1012,5.984624483,169.1
10,2010,3,Spring,Beach,f,982,5.759530792,170.5
100,2008,1,Spring,Plateau,m,1019,5.8115661,175.34
100,2009,2,Summer,Plateau,m,1051,6.036760482,174.1
100,2016,9,Spring,Plateau,m,1092,6.257879656,174.5
100,2017,10,Spring,Plateau,m,1063,6.109195402,174
1000,2009,2,Spring,Plateau,m,924,5.372717758,171.98
1001,2009,2,Spring,Plateau,m,1161,6.450716746,179.98
1001,2009,2,Summer,Plateau,m,1216,6.724176067,180.84
1001,2015,8,Summer,Plateau,m,1263,6.977900552,181
1001,2016,9,Summer,Plateau,m,1256,6.939226519,181
1001,2017,10,Summer,Plateau,m,1234,6.817679558,181
1001,2019,12,Spring,Plateau,m,1210,6.648351648,182
1001,2021,14,Summer,Plateau,m,1268,7.005524862,181
1003,2009,2,Spring,Plateau,m,854,5.342174403,159.86
1003,2010,3,Spring,Plateau,m,898,5.528875754,162.42
1004,2009,2,Spring,Plateau,m,1391,7.181208054,193.7
1005,2009,2,Spring,Plateau,m,1001,5.853116595,171.02
1005,2011,4,Summer,Plateau,m,912,5.367863449,169.9
1005,2011,4,Summer,Plateau,m,1009,5.832369942,173
1005,2011,4,Spring,Plateau,m,981,5.726795096,171.3
1005,2012,5,Spring,Plateau,m,1032,6.035087719,171
1005,2015,8,Summer,Plateau,m,1082,6.25433526,173
1005,2016,9,Spring,Plateau,m,1064,6.222222222,171
1005,2017,10,Summer,Plateau,m,1049,6.134502924,171
1005,2018,11,Spring,Plateau,m,1044,6.069767442,172
1005,2019,12,Spring,Plateau,m,976,5.741176471,170
1005,2021,14,Summer,Plateau,m,1042,6.023121387,173
1005,2022,15,Summer,Plateau,m,1025,5.959302326,172
1006,2009,2,Spring,Plateau,m,1111,6.224089636,178.5
1006,2010,3,Spring,Plateau,m,1162,6.539110861,177.7
1006,2017,10,Summer,Plateau,m,1141,6.482954545,176
1006,2018,11,Summer,Plateau,m,1186,6.625698324,179
1007,2009,2,Spring,Plateau,m,1035,5.803521364,178.34
1007,2011,4,Spring,Plateau,m,1102,6.20146314,177.7
1007,2017,10,Summer,Plateau,m,997,5.508287293,181
1007,2018,11,Summer,Plateau,m,1115,6.160220994,181
1007,2019,12,Spring,Plateau,m,1090,6.022099448,181
1007,2020,13,Summer,Plateau,m,1143,6.38547486,179
1007,2021,14,Spring,Plateau,m,1029,5.685082873,181
1007,2023,16,Spring,Plateau,m,1135,6.305555556,180
1009,2009,2,Spring,Plateau,m,1056,5.899441341,179
1009,2011,4,Summer,Plateau,m,1099,6.071823204,181
1009,2012,5,Summer,Plateau,m,1179,6.499448732,181.4
1009,2016,9,Spring,Plateau,m,1215,6.60326087,184
1009,2017,10,Spring,Plateau,m,1185,6.546961326,181
1009,2018,11,Spring,Plateau,m,1173,6.480662983,181
1009,2021,14,Summer,Plateau,m,1180,6.413043478,184
1009,2022,15,Spring,Plateau,m,1117,6.171270718,181
1010,2009,2,Spring,Plateau,m,1187,6.620189626,179.3
1011,2009,2,Summer,Plateau,m,1029,6.072946176,169.44
1011,2009,2,Spring,Plateau,m,1035,6.099717115,169.68
1011,2010,3,Spring,Plateau,m,1035,6.119191203,169.14
1011,2011,4,Summer,Plateau,m,1016,5.997638725,169.4
1011,2011,4,Spring,Plateau,m,1026,6.028202115,170.2
1011,2013,6,Spring,Plateau,m,1046,6.046242775,173
1011,2014,7,Summer,Plateau,m,1064,6.160972785,172.7
1011,2016,9,Summer,Plateau,m,1026,5.965116279,172
1011,2017,10,Summer,Plateau,m,1096,6.409356725,171
1011,2018,11,Spring,Plateau,m,1061,6.168604651,172
1011,2019,12,Spring,Plateau,m,1021,5.970760234,171
1011,2022,15,Spring,Plateau,m,1080,6.390532544,169
1012,2009,2,Spring,Plateau,m,1258,7.051569507,178.4
1012,2010,3,Summer,Plateau,m,1200,6.711409396,178.8
1012,2011,4,Summer,Plateau,m,1274,7.038674033,181
1012,2016,9,Spring,Plateau,m,1286,7.144444444,180
1012,2017,10,Spring,Plateau,m,1307,7.384180791,177
1012,2019,12,Spring,Plateau,m,1275,7.203389831,177
1012,2022,15,Spring,Plateau,m,1272,7.146067416,178
1014,2011,4,Summer,Plateau,m,1207,6.489247312,186
1014,2016,9,Spring,Plateau,m,1375,7.161458333,192
1014,2016,9,Spring,Plateau,m,1377,7.171875,192
1014,2017,10,Spring,Plateau,m,1350,7.142857143,189
1014,2018,11,Spring,Plateau,m,1366,7.114583333,192
1014,2019,12,Spring,Plateau,m,1315,6.957671958,189
