species,date,geo_group,region,losses,dead,discarded,escaped,other
salmon,2020-01-01,area,1,31425,28126,3299,0,0
salmon,2020-01-01,area,2,324116,277888,46113,0,115
salmon,2020-01-01,area,3,844829,776983,63770,0,4076
salmon,2020-01-01,area,4,676852,623159,51823,0,1870
salmon,2020-01-01,area,5,109269,97627,11424,0,218
salmon,2020-01-01,area,6,548921,531193,15710,0,2018
salmon,2020-01-01,area,7,231487,228847,2640,0,0
salmon,2020-01-01,area,8,442659,431218,11228,0,213
salmon,2020-01-01,area,9,311127,308298,2212,0,617
salmon,2020-01-01,area,10,288849,281808,3120,0,3921
salmon,2020-01-01,area,11,565676,516146,4761,0,44769
salmon,2020-01-01,area,12,532527,500079,19833,19,12596
salmon,2020-01-01,area,13,29668,24396,4947,0,325
salmon,2020-01-01,county,Agder,31425,28126,3299,0,0
salmon,2020-01-01,county,Rogaland,337744,289072,48472,0,200
salmon,2020-01-01,county,Vestland,1508053,1388958,113234,0,5861
salmon,2020-01-01,county,Møre og Romsdal,233384,212079,21034,0,271
salmon,2020-01-01,county,Trøndelag,644643,634325,8353,0,1965
salmon,2020-01-01,county,Nordland,765029,750382,13827,0,820
salmon,2020-01-01,county,Troms,854932,798351,7881,0,48700
salmon,2020-01-01,county,Finnmark,562195,524475,24780,19,12921
salmon,2020-01-01,county,Akershus,0,0,0,0,0
salmon,2020-01-01,country,Norge,4937405,4625768,240880,19,70738
salmon,2020-02-01,area,1,50080,49755,325,0,0
salmon,2020-02-01,area,2,197239,185488,11372,0,379
salmon,2020-02-01,area,3,544177,485874,58020,0,283
salmon,2020-02-01,area,4,546960,503147,36018,0,7795
salmon,2020-02-01,area,5,42267,38863,3077,0,327
salmon,2020-02-01,area,6,890612,739646,37928,0,113038
salmon,2020-02-01,area,7,475115,467700,5545,0,1870
salmon,2020-02-01,area,8,327323,324703,2133,0,487
salmon,2020-02-01,area,9,286601,262385,3214,0,21002
salmon,2020-02-01,area,10,226583,219071,2397,0,5115
salmon,2020-02-01,area,11,625946,427662,5780,0,192504
salmon,2020-02-01,area,12,639209,563610,26586,0,49013
salmon,2020-02-01,area,13,5221,4153,542,0,526
salmon,2020-02-01,county,Agder,50080,49755,325,0,0
salmon,2020-02-01,county,Rogaland,212945,199714,12852,0,379
salmon,2020-02-01,county,Vestland,1075431,974795,92558,0,8078
salmon,2020-02-01,county,Møre og Romsdal,378919,230625,36295,0,111999
salmon,2020-02-01,county,Trøndelag,1016480,1005009,8245,0,3226
salmon,2020-02-01,county,Nordland,626030,597174,7357,0,21499
salmon,2020-02-01,county,Troms,853018,647222,8177,0,197619
salmon,2020-02-01,county,Finnmark,644430,567763,27128,0,49539
salmon,2020-02-01,county,Akershus,0,0,0,0,0
salmon,2020-02-01,country,Norge,4857333,4272057,192937,0,392339
salmon,2020-03-01,area,1,46337,46337,0,0,0
salmon,2020-03-01,area,2,547309,498910,48265,0,134
salmon,2020-03-01,area,3,664472,617426,43164,0,3882
salmon,2020-03-01,area,4,819002,761464,36238,0,21300
salmon,2020-03-01,area,5,71973,70778,748,0,447
salmon,2020-03-01,area,6,672953,647874,18242,1,6836
salmon,2020-03-01,area,7,303956,281313,21421,0,1222
salmon,2020-03-01,area,8,218440,212784,5216,0,440
salmon,2020-03-01,area,9,258655,251993,6514,0,148
salmon,2020-03-01,area,10,236048,220385,5975,0,9688
salmon,2020-03-01,area,11,487640,429946,7296,0,50398
salmon,2020-03-01,area,12,823725,682073,100965,0,40687
salmon,2020-03-01,area,13,4790,3972,0,0,818
salmon,2020-03-01,county,Agder,46337,46337,0,0,0
salmon,2020-03-01,county,Rogaland,561815,511684,49962,0,169
salmon,2020-03-01,county,Vestland,1468968,1366116,77705,0,25147
salmon,2020-03-01,county,Møre og Romsdal,307379,297618,9163,0,598
salmon,2020-03-01,county,Trøndelag,697632,671500,18224,1,7907
salmon,2020-03-01,county,Nordland,520966,495624,24754,0,588
salmon,2020-03-01,county,Troms,723688,650331,13271,0,60086
salmon,2020-03-01,county,Finnmark,828515,686045,100965,0,41505
salmon,2020-03-01,county,Akershus,0,0,0,0,0
salmon,2020-03-01,country,Norge,5155300,4725255,294044,1,136000
salmon,2020-04-01,area,1,33868,32724,1144,0,0
salmon,2020-04-01,area,2,272828,188404,84295,0,129
salmon,2020-04-01,area,3,737746,699353,38171,0,222
salmon,2020-04-01,area,4,575949,515227,35208,500,25014
salmon,2020-04-01,area,5,174865,168505,5388,0,972
salmon,2020-04-01,area,6,750935,728145,17535,0,5255
salmon,2020-04-01,area,7,294389,284733,8966,0,690
