record_id,date,time,latitude,longitude,hemisphere,activity,speed,direction,cloud_cover,precipitation,wind_speed_class,wind_direction,air_temperature,pressure,sea_state_class,sea_surface_temperature,depth,observer,census_method,season
1083001,1975-10-15,14:00:00,-45.917,165.4,E,"steaming, sailing",15,NA,overcast,showers,5,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
1084001,1975-11-03,13:10:00,-35.533,125,E,"steaming, sailing",14,NA,partially cloudy,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
1084002,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
1084003,1975-11-08,16:15:00,-40,162,E,"steaming, sailing",14.6,NA,partially cloudy,squalls,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
1086001,1975-11-16,12:30:00,-36.167,174.917,E,"steaming, sailing",15,NA,partially cloudy,none,0,NA,NA,NA,1,NA,NA,D. Jeffcock,full,spring
1086002,1975-11-16,15:30:00,-35.417,174.567,E,"steaming, sailing",15,NA,overcast,none,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
1086003,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
1086004,1975-11-17,16:30:00,-35.3,167.333,E,"steaming, sailing",15,NA,partially cloudy,showers,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
1086005,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
1086006,1975-11-18,16:30:00,-36.333,160.5,E,"steaming, sailing",15,NA,partially cloudy,none,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
1086007,1975-11-20,12:00:00,-39.183,146.283,E,"steaming, sailing",15,NA,overcast,none,7,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
1087001,1975-11-22,14:00:00,NA,NA,NA,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
