Year,Sex,Name,Number,Rank
1996,Boy,Aadam,28,588
1996,Boy,Aadil,28,588
1996,Boy,Aakash,9,1337
1996,Boy,Aaman,3,2863
1996,Boy,Aamir,57,379
1996,Boy,Aaqib,6,1765
1996,Boy,Aaran,21,728
1996,Boy,Aarif,3,2863
1996,Boy,Aaron,2511,33
1996,Boy,Aarondeep,12,1104
1996,Boy,Aarron,20,755
1996,Boy,Aarun,5,2020
1996,Boy,Aasim,5,2020
1996,Boy,Aatif,6,1765
1996,Boy,Aatish,4,2357
1996,Boy,Aayush,3,2863
1996,Boy,Abanoub,3,2863
1996,Boy,Abas,6,1765
1996,Boy,Abass,3,2863
1996,Boy,Abayomi,3,2863
1996,Boy,Abbas,37,489
1996,Boy,Abd,5,2020
1996,Boy,Abdal,7,1591
1996,Boy,Abdallah,7,1591
1996,Boy,Abdel,4,2357
1996,Boy,Abdi,10,1235
1996,Boy,Abdifatah,3,2863
1996,Boy,Abdimalik,3,2863
1996,Boy,Abdinasir,4,2357
1996,Boy,Abdirahman,13,1040
1996,Boy,Abdiwali,3,2863
1996,Boy,Abdoulie,3,2863
1996,Boy,Abdu,5,2020
1996,Boy,Abdul,201,173
1996,Boy,Abdul-Azeez,4,2357
1996,Boy,Abdul-Aziz,3,2863
1996,Boy,Abdul-Kareem,3,2863
1996,Boy,Abdulah,3,2863
1996,Boy,Abdulazeez,3,2863
1996,Boy,Abdulaziz,7,1591
1996,Boy,Abdulhamid,4,2357
1996,Boy,Abdulkadir,7,1591
1996,Boy,Abdulla,7,1591
1996,Boy,Abdullah,85,294
1996,Boy,Abdullahi,18,818
1996,Boy,Abdulrahman,12,1104
1996,Boy,Abdulwahab,3,2863
1996,Boy,Abdur,9,1337
1996,Boy,Abdur-Rahmaan,3,2863
1996,Boy,Abdur-Rahman,5,2020
1996,Boy,Abdur-Rehman,3,2863
1996,Boy,Abdurahman,4,2357
1996,Boy,Abel,9,1337
1996,Boy,Abhinav,5,2020
1996,Boy,Abhishek,5,2020
1996,Boy,Abid,13,1040
1996,Boy,Abidul,4,2357
1996,Boy,Abiodun,3,2863
1996,Boy,Abir,5,2020
1996,Boy,Abraar,3,2863
1996,Boy,Abraham,40,464
1996,Boy,Abrahim,5,2020
1996,Boy,Abram,3,2863
1996,Boy,Abrar,10,1235
1996,Boy,Abu,27,605
1996,Boy,Abu-Bakr,3,2863
1996,Boy,Abubakar,11,1168
1996,Boy,Abubakr,3,2863
1996,Boy,Abukar,3,2863
1996,Boy,Abul,23,680
1996,Boy,Ace,5,2020
1996,Boy,Acer,5,2020
1996,Boy,Adal,6,1765
1996,Boy,Adam,4538,16
1996,Boy,Adan,9,1337
1996,Boy,Adarsh,4,2357
1996,Boy,Addam,5,2020
1996,Boy,Addison,13,1040
1996,Boy,Adedamola,3,2863
1996,Boy,Adedapo,4,2357
1996,Boy,Adeeb,7,1591
1996,Boy,Adeel,38,481
1996,Boy,Adekunle,4,2357
1996,Boy,Adel,8,1458
1996,Boy,Adem,19,784
1996,Boy,Ademola,3,2863
1996,Boy,Aden,23,680
1996,Boy,Adeola,3,2863
1996,Boy,Adeoluwa,3,2863
1996,Boy,Adham,10,1235
1996,Boy,Adil,88,291
1996,Boy,Adley,3,2863
1996,Boy,Adnaan,13,1040
1996,Boy,Adnan,57,379
1996,Boy,Adrian,155,204
1996,Boy,Adriano,7,1591
1996,Boy,Adrien,5,2020
1996,Boy,Adris,5,2020
1996,Boy,Aedan,10,1235
1996,Boy,Aeron,10,1235
1996,Boy,Afjol,3,2863
1996,Boy,Afolabi,4,2357
1996,Boy,Afsar,3,2863
1996,Boy,Afzal,6,1765
1996,Boy,Ahad,6,1765
1996,Boy,Ahamed,4,2357
1996,Boy,Aharon,5,2020
1996,Boy,Ahmad,57,379
1996,Boy,Ahmed,206,164
1996,Boy,Ahmer,3,2863
1996,Boy,Ahmet,18,818
1996,Boy,Ahsan,17,853
