title,pope,year,papal_number,birth_name,birth_country,pontificate_start,pontificate_end,pontificate_year
Inscrutabili Dei Consilio,Leo XIII,1878,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,1
Quod Apostolici Muneris,Leo XIII,1878,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,1
Aeterni Patris,Leo XIII,1879,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,2
Arcanum Divinae,Leo XIII,1880,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,3
Grande Munus,Leo XIII,1880,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,3
Sancta Dei Civitas,Leo XIII,1880,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,3
Diuturnum,Leo XIII,1881,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,4
Licet Multa,Leo XIII,1881,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,4
Auspicato Concessum,Leo XIII,1882,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,5
Cum Multa Sint,Leo XIII,1882,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,5
Etsi Nos,Leo XIII,1882,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,5
Supremi Apostolatus Officio,Leo XIII,1883,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,6
Humanum Genus,Leo XIII,1884,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,7
Nobilissima Gallorum Gens,Leo XIII,1884,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,7
Superiore Anno,Leo XIII,1884,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,7
Immortale Dei,Leo XIII,1885,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,8
Quod Auctoritate,Leo XIII,1885,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,8
Spectata Fides,Leo XIII,1885,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,8
Iampridem,Leo XIII,1886,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,9
Pergrata Nobis,Leo XIII,1886,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,9
Quod Multum,Leo XIII,1886,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,9
Officio Sanctissimo,Leo XIII,1887,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,10
Vi è Ben Noto,Leo XIII,1887,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,10
Etsi Cunctas,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Exeunte Iam Anno,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
In Plurimis,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Libertas,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Paterna Caritas,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Quam Aerumnosa,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Quod Anniversarius,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Saepe Nos,Leo XIII,1888,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,11
Magni Nobis,Leo XIII,1889,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,12
Quamquam Pluries,Leo XIII,1889,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,12
Catholicae Ecclesiae,Leo XIII,1890,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,13
Dall'alto dell'Apostolico Seggio,Leo XIII,1890,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,13
Sapientiae Christianae,Leo XIII,1890,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,13
In Ipso,Leo XIII,1891,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,14
Octobri Mense,Leo XIII,1891,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,14
Pastoralis,Leo XIII,1891,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,14
Pastoralis Officii,Leo XIII,1891,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,14
Rerum Novarum,Leo XIII,1891,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,14
Au Milieu des Sollicitudes,Leo XIII,1892,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,15
Custodi di quella Fede,Leo XIII,1892,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,15
Inimica Vis,Leo XIII,1892,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,15
Magnae Dei Matris,Leo XIII,1892,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,15
Quarto Abeunte Saeculo,Leo XIII,1892,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,15
Ad Extremas,Leo XIII,1893,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,16
Constanti Hungarorum,Leo XIII,1893,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,16
Laetitiae Sanctae,Leo XIII,1893,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,16
Non Mediocri,Leo XIII,1893,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,16
Providentissimus Deus,Leo XIII,1893,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,16
Caritatis,Leo XIII,1894,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,17
Christi Nomen,Leo XIII,1894,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,17
Inter Graves,Leo XIII,1894,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,17
Iucunda Semper Expectatione,Leo XIII,1894,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,17
Litteras a Vobis,Leo XIII,1894,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,17
Adiutricem,Leo XIII,1895,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,18
Longinqua,Leo XIII,1895,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,18
Permoti Nos,Leo XIII,1895,256,Vincenzo Gioacchino Pecci,Italy,1878-02-20,1903-07-20,18
