encyclical,pope,year,paragraph,reference,book,testament
Rerum Novarum,Leo XIII,1891,11,Deut 5:21,Deuteronomy,Old Testament
Rerum Novarum,Leo XIII,1891,12,Gen 1:28,Genesis,Old Testament
Rerum Novarum,Leo XIII,1891,17,Gen 3:17,Genesis,Old Testament
Rerum Novarum,Leo XIII,1891,20,James 5:4,James,New Testament
Rerum Novarum,Leo XIII,1891,21,2 Tim 2:12,2 Timothy,New Testament
Rerum Novarum,Leo XIII,1891,21,2 Cor 4:17,2 Corinthians,New Testament
Rerum Novarum,Leo XIII,1891,22,Matt 19:23-24,Matthew,New Testament
Rerum Novarum,Leo XIII,1891,22,Luke 6:24-25,Luke,New Testament
Rerum Novarum,Leo XIII,1891,22,Luke 11:41,Luke,New Testament
Rerum Novarum,Leo XIII,1891,22,Acts 20:35,Acts,New Testament
Rerum Novarum,Leo XIII,1891,22,Matt 25:40,Matthew,New Testament
Rerum Novarum,Leo XIII,1891,23,2 Cor 8:9,2 Corinthians,New Testament
Rerum Novarum,Leo XIII,1891,23,Mark 6:3,Mark,New Testament
Rerum Novarum,Leo XIII,1891,24,Matt 5:3,Matthew,New Testament
Rerum Novarum,Leo XIII,1891,24,Matt 11:28,Matthew,New Testament
Rerum Novarum,Leo XIII,1891,25,Rom 8:17,Romans,New Testament
Rerum Novarum,Leo XIII,1891,28,1 Tim 6:10,1 Timothy,New Testament
Rerum Novarum,Leo XIII,1891,29,Acts 4:34,Acts,New Testament
Rerum Novarum,Leo XIII,1891,40,Gen 1:28,Genesis,Old Testament
Rerum Novarum,Leo XIII,1891,40,Rom 10:12,Romans,New Testament
Rerum Novarum,Leo XIII,1891,41,Exod 20:8,Exodus,Old Testament
Rerum Novarum,Leo XIII,1891,41,Gen 2:2,Genesis,Old Testament
Rerum Novarum,Leo XIII,1891,44,Gen 3:19,Genesis,Old Testament
Rerum Novarum,Leo XIII,1891,50,Eccl 4:9-10,Ecclesiastes,Old Testament
Rerum Novarum,Leo XIII,1891,50,Prov 18:19,Proverbs,Old Testament
Rerum Novarum,Leo XIII,1891,57,Matt 16:26,Matthew,New Testament
Rerum Novarum,Leo XIII,1891,57,Matt 6:32-33,Matthew,New Testament
Rerum Novarum,Leo XIII,1891,63,1 Cor 13:4-7,1 Corinthians,New Testament
Magnifica Humanitas,Leo XIV,2026,3,Prov 8:22-31,Proverbs,Old Testament
Magnifica Humanitas,Leo XIV,2026,7,Gen 11:1-9,Genesis,Old Testament
Magnifica Humanitas,Leo XIV,2026,7,Neh 2–6,Nehemiah,Old Testament
Magnifica Humanitas,Leo XIV,2026,8,Neh 1–2,Nehemiah,Old Testament
Magnifica Humanitas,Leo XIV,2026,9,Mt 25:14-30,Matthew,New Testament
Magnifica Humanitas,Leo XIV,2026,16,Ps 85:10,Psalms,Old Testament
Magnifica Humanitas,Leo XIV,2026,50,Gen 1:26-27,Genesis,Old Testament
Magnifica Humanitas,Leo XIV,2026,77,Mt 25:31-46,Matthew,New Testament
Magnifica Humanitas,Leo XIV,2026,88,Eph 4:4,Ephesians,New Testament
Magnifica Humanitas,Leo XIV,2026,88,Acts 4:32,Acts,New Testament
Magnifica Humanitas,Leo XIV,2026,89,Acts 4:34,Acts,New Testament
Magnifica Humanitas,Leo XIV,2026,90,Gen 11:1-9,Genesis,Old Testament
Magnifica Humanitas,Leo XIV,2026,90,Neh 2–6,Nehemiah,Old Testament
Magnifica Humanitas,Leo XIV,2026,210,Mk 4:26-32,Mark,New Testament
Magnifica Humanitas,Leo XIV,2026,211,Jn 1:5,John,New Testament
Magnifica Humanitas,Leo XIV,2026,233,Eph 1:10,Ephesians,New Testament
Magnifica Humanitas,Leo XIV,2026,236,1 Cor 3:10,1 Corinthians,New Testament
Magnifica Humanitas,Leo XIV,2026,236,1 Pet 2:4-6,1 Peter,New Testament
Magnifica Humanitas,Leo XIV,2026,9,Mt 25:14,Matthew,New Testament
Magnifica Humanitas,Leo XIV,2026,11,Jn 10:10,John,New Testament
Magnifica Humanitas,Leo XIV,2026,77,Mt 25:31,Matthew,New Testament
Magnifica Humanitas,Leo XIV,2026,215,Ps 84:11,Psalms,Old Testament
