"species","genus","shortname","sex","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length"
"Aptenodytes forsteri","Aptenodytes","A. forsteri","U",66.8,51.5,13,17.9,NA,170,NA,NA,NA,111
"Aptenodytes forsteri","Aptenodytes","A. forsteri","M",102.4,47.6,14.2,17.7,46.7,185,5.1,179.9,2.8,119
"Aptenodytes forsteri","Aptenodytes","A. forsteri","M",103.7,59.6,13.7,16.3,45.7,180,6.2,173.8,3.4,120
"Aptenodytes forsteri","Aptenodytes","A. forsteri","F",94.4,57.5,14.6,20.2,50.8,182,8,174,4.4,130
"Aptenodytes forsteri","Aptenodytes","A. forsteri","F",103.7,51.2,13.8,16.6,45.8,180,7.5,172.5,4.2,107.5
"Aptenodytes patagonicus","Aptenodytes","A. patagonicus","M",102.1,67.2,12.2,17.5,51.7,166,7.1,158.9,4.3,62
"Aptenodytes patagonicus","Aptenodytes","A. patagonicus","F",105,63.3,10.7,18.6,45.2,164,5.2,158.8,3.2,46
"Aptenodytes patagonicus","Aptenodytes","A. patagonicus","M",110,66.1,12.5,17.5,61.5,165,6,159,3.6,67
"Aptenodytes patagonicus","Aptenodytes","A. patagonicus","F",102.1,66.1,10.1,17.5,50.2,174,6.5,167.5,3.7,80
"Aptenodytes patagonicus","Aptenodytes","A. patagonicus","M",108.9,NA,9.4,18.1,NA,NA,NA,NA,NA,NA
"Eudyptes chrysocome","Eudyptes","E. chrysocome","M",54.5,30.8,12.7,22.4,23.5,98,6.4,91.6,6.5,88
"Eudyptes chrysocome","Eudyptes","E. chrysocome","U",47.9,29,15,22.1,18,101,4.2,96.8,4.2,73
"Eudyptes chrysocome","Eudyptes","E. chrysocome","F",50.2,31.1,11.6,21.4,37.9,108,6.2,101.8,5.7,70
"Eudyptes chrysocome","Eudyptes","E. chrysocome","U",49.4,27,13.8,26.7,20,89,8.4,80.6,9.4,103
"Eudyptes chrysocome","Eudyptes","E. chrysocome","U",45.9,27.3,12,21.3,22.2,97,6.8,90.2,7,91
"Eudyptes chrysocome","Eudyptes","E. chrysocome","M",49.8,25.3,14.1,23.4,23,100,5.7,94.3,5.7,85
