type,nationality,band,percent,year
Academic,Azerbaijan,<4,5.647803004631198e-4,2024-2025
Academic,Azerbaijan,4,0.003162769682593471,2024-2025
Academic,Azerbaijan,4.5,0.011521518129447643,2024-2025
Academic,Azerbaijan,5,0.03795323619112165,2024-2025
Academic,Azerbaijan,5.5,0.10742121314808539,2024-2025
Academic,Azerbaijan,6,0.1834406415904213,2024-2025
Academic,Azerbaijan,6.5,0.21856997627922736,2024-2025
Academic,Azerbaijan,7,0.20298203998644523,2024-2025
Academic,Azerbaijan,7.5,0.1485372190218005,2024-2025
Academic,Azerbaijan,8,0.07568056026205805,2024-2025
Academic,Azerbaijan,8.5,0.010053089348243534,2024-2025
Academic,Azerbaijan,9,1.1295606009262396e-4,2024-2025
Academic,Bangladesh,<4,0.004344733452525135,2024-2025
Academic,Bangladesh,4,0.015523771074840917,2024-2025
Academic,Bangladesh,4.5,0.04820539439029548,2024-2025
Academic,Bangladesh,5,0.1207297614241498,2024-2025
Academic,Bangladesh,5.5,0.2156987138820001,2024-2025
Academic,Bangladesh,6,0.23303919872349424,2024-2025
Academic,Bangladesh,6.5,0.16613799334832843,2024-2025
Academic,Bangladesh,7,0.1010054405290578,2024-2025
Academic,Bangladesh,7.5,0.06064363573447142,2024-2025
Academic,Bangladesh,8,0.029153930445815792,2024-2025
Academic,Bangladesh,8.5,0.005421304573504816,2024-2025
Academic,Bangladesh,9,9.612242151604283e-5,2024-2025
Academic,Cambodia,<4,0.003741262183715664,2024-2025
Academic,Cambodia,4,0.011519149355124545,2024-2025
Academic,Cambodia,4.5,0.0490302254602737,2024-2025
Academic,Cambodia,5,0.13763906665353942,2024-2025
Academic,Cambodia,5.5,0.20498178596042138,2024-2025
Academic,Cambodia,6,0.21216894752387513,2024-2025
Academic,Cambodia,6.5,0.1616619080437137,2024-2025
Academic,Cambodia,7,0.10790587771979915,2024-2025
Academic,Cambodia,7.5,0.07521906074628334,2024-2025
Academic,Cambodia,8,0.03170227429359063,2024-2025
Academic,Cambodia,8.5,0.004331987791670769,2024-2025
Academic,Cambodia,9,9.845426799251748e-5,2024-2025
Academic,China,<4,0.005224181443663333,2024-2025
Academic,China,4,0.014428901983090442,2024-2025
Academic,China,4.5,0.04636599091014518,2024-2025
Academic,China,5,0.1228025027473893,2024-2025
Academic,China,5.5,0.22994902833538583,2024-2025
Academic,China,6,0.264865999193731,2024-2025
Academic,China,6.5,0.17824730369282255,2024-2025
Academic,China,7,0.09012541348899111,2024-2025
Academic,China,7.5,0.037888016964783715,2024-2025
Academic,China,8,0.009226810101556761,2024-2025
Academic,China,8.5,8.625974011630153e-4,2024-2025
Academic,China,9,1.3253737277792811e-5,2024-2025
Academic,Colombia,<4,0.002261420171867933,2024-2025
Academic,Colombia,4,0.007839589929142167,2024-2025
Academic,Colombia,4.5,0.021483491632745367,2024-2025
Academic,Colombia,5,0.055103271521181975,2024-2025
Academic,Colombia,5.5,0.1215136439017036,2024-2025
Academic,Colombia,6,0.17842605156037994,2024-2025
Academic,Colombia,6.5,0.18995929443690637,2024-2025
Academic,Colombia,7,0.17435549525101768,2024-2025
Academic,Colombia,7.5,0.14970601537765718,2024-2025
Academic,Colombia,8,0.08352178501432234,2024-2025
Academic,Colombia,8.5,0.015679179858284334,2024-2025
Academic,Colombia,9,1.5076134479119556e-4,2024-2025
Academic,Egypt,<4,0.0030824829931972784,2024-2025
Academic,Egypt,4,0.006164965986394557,2024-2025
Academic,Egypt,4.5,0.018122874149659865,2024-2025
Academic,Egypt,5,0.04751275510204081,2024-2025
Academic,Egypt,5.5,0.10103103741496598,2024-2025
Academic,Egypt,6,0.15167942176870747,2024-2025
Academic,Egypt,6.5,0.17639243197278912,2024-2025
Academic,Egypt,7,0.19079506802721088,2024-2025
Academic,Egypt,7.5,0.16953656462585034,2024-2025
Academic,Egypt,8,0.11054421768707483,2024-2025
Academic,Egypt,8.5,0.024819302721088437,2024-2025
Academic,Egypt,9,3.188775510204082e-4,2024-2025
Academic,France,<4,4.5151256709978423e-4,2024-2025
Academic,France,4,0.004163949229920232,2024-2025
Academic,France,4.5,0.012291175437716349,2024-2025
Academic,France,5,0.034967139918727734,2024-2025
Academic,France,5.5,0.07826217829729593,2024-2025
Academic,France,6,0.131841669593137,2024-2025
Academic,France,6.5,0.16715998595294235,2024-2025
Academic,France,7,0.19088947975718656,2024-2025
Academic,France,7.5,0.20729443636181205,2024-2025
Academic,France,8,0.13981839161189985,2024-2025
Academic,France,8.5,0.03225806451612903,2024-2025
Academic,France,9,6.020167561330457e-4,2024-2025
Academic,Germany,<4,0,2024-2025
Academic,Germany,4,2.541942043721403e-4,2024-2025
Academic,Germany,4.5,6.354855109303507e-4,2024-2025
Academic,Germany,5,0.004448398576512455,2024-2025
Academic,Germany,5.5,0.014616166751398067,2024-2025
Academic,Germany,6,0.03571428571428571,2024-2025
Academic,Germany,6.5,0.07600406710726995,2024-2025
Academic,Germany,7,0.14082358922216573,2024-2025
Academic,Germany,7.5,0.23856126080325368,2024-2025
Academic,Germany,8,0.34672089476359935,2024-2025
Academic,Germany,8.5,0.1391713268937468,2024-2025
Academic,Germany,9,0.003050330452465684,2024-2025
Academic,Ghana,<4,2.2109219544550078e-4,2024-2025
Academic,Ghana,4,8.843687817820031e-4,2024-2025
Academic,Ghana,4.5,0.0057483970815830196,2024-2025
Academic,Ghana,5,0.018240106124253815,2024-2025
Academic,Ghana,5.5,0.07296042449701526,2024-2025
Academic,Ghana,6,0.19422949369887246,2024-2025
Academic,Ghana,6.5,0.27304886137519346,2024-2025
Academic,Ghana,7,0.25436657086004866,2024-2025
Academic,Ghana,7.5,0.11972142383373868,2024-2025
Academic,Ghana,8,0.051625027636524434,2024-2025
Academic,Ghana,8.5,0.008954233915542781,2024-2025
Academic,Ghana,9,0,2024-2025
Academic,Hong Kong,<4,0.0012227786188424362,2024-2025
Academic,Hong Kong,4,0.0039012460696401536,2024-2025
Academic,Hong Kong,4.5,0.014149295446605335,2024-2025
Academic,Hong Kong,5,0.052201001513916385,2024-2025
Academic,Hong Kong,5.5,0.13267148014440433,2024-2025
Academic,Hong Kong,6,0.17380924653546057,2024-2025
Academic,Hong Kong,6.5,0.16379410737160824,2024-2025
Academic,Hong Kong,7,0.16082450215441949,2024-2025
Academic,Hong Kong,7.5,0.15197391405613137,2024-2025
Academic,Hong Kong,8,0.10990450681262373,2024-2025
Academic,Hong Kong,8.5,0.03476184930709212,2024-2025
Academic,Hong Kong,9,7.860719692558519e-4,2024-2025
Academic,India,<4,8.498102090533113e-4,2024-2025
Academic,India,4,0.002379468585349272,2024-2025
Academic,India,4.5,0.009082346609257266,2024-2025
Academic,India,5,0.038404339697467565,2024-2025
Academic,India,5.5,0.12423517081185201,2024-2025
Academic,India,6,0.20889397201291712,2024-2025
Academic,India,6.5,0.20536371876947482,2024-2025
Academic,India,7,0.16831907540649255,2024-2025
Academic,India,7.5,0.13471970426604724,2024-2025
Academic,India,8,0.0857564727210923,2024-2025
Academic,India,8.5,0.02163829244801994,2024-2025
Academic,India,9,3.576284629766019e-4,2024-2025
Academic,Indonesia,<4,0.0017141034840149885,2024-2025
Academic,Indonesia,4,0.0036474527624970107,2024-2025
Academic,Indonesia,4.5,0.010663318185442078,2024-2025
Academic,Indonesia,5,0.03493980706370087,2024-2025
Academic,Indonesia,5.5,0.09138563342103165,2024-2025
Academic,Indonesia,6,0.16897871322650088,2024-2025
Academic,Indonesia,6.5,0.2070477557203221,2024-2025
Academic,Indonesia,7,0.1997528501953281,2024-2025
Academic,Indonesia,7.5,0.16927768476441046,2024-2025
Academic,Indonesia,8,0.09499322331180739,2024-2025
Academic,Indonesia,8.5,0.01726062345531372,2024-2025
Academic,Indonesia,9,3.3883440963086985e-4,2024-2025
Academic,"Iran, Islamic Republic of",<4,0.0010749131800893005,2024-2025
Academic,"Iran, Islamic Republic of",4,0.0024392260625103355,2024-2025
Academic,"Iran, Islamic Republic of",4.5,0.012402844385645775,2024-2025
Academic,"Iran, Islamic Republic of",5,0.03526542086985282,2024-2025
Academic,"Iran, Islamic Republic of",5.5,0.10947577311063338,2024-2025
Academic,"Iran, Islamic Republic of",6,0.21332892343310733,2024-2025
Academic,"Iran, Islamic Republic of",6.5,0.22862576484207048,2024-2025
Academic,"Iran, Islamic Republic of",7,0.18753100711096413,2024-2025
Academic,"Iran, Islamic Republic of",7.5,0.13200760707788986,2024-2025
Academic,"Iran, Islamic Republic of",8,0.06672730279477428,2024-2025
Academic,"Iran, Islamic Republic of",8.5,0.011079874317843559,2024-2025
Academic,"Iran, Islamic Republic of",9,4.134281461881925e-5,2024-2025
