type,nationality,part,score,year
Academic,Azerbaijan,listening,6.584999435,2024-2025
Academic,Azerbaijan,reading,6.895007342,2024-2025
Academic,Azerbaijan,writing,6.072178922,2024-2025
Academic,Azerbaijan,speaking,6.578165594,2024-2025
Academic,Azerbaijan,overall,6.595052525,2024-2025
Academic,Bangladesh,listening,5.81597843,2024-2025
Academic,Bangladesh,reading,6.232077975,2024-2025
Academic,Bangladesh,writing,5.829190457,2024-2025
Academic,Bangladesh,speaking,5.881106177,2024-2025
Academic,Bangladesh,overall,6.004041948,2024-2025
Academic,Cambodia,listening,5.789061731,2024-2025
Academic,Cambodia,reading,6.206064783,2024-2025
Academic,Cambodia,writing,5.81845033,2024-2025
Academic,Cambodia,speaking,6.05616816,2024-2025
Academic,Cambodia,overall,6.02919169,2024-2025
Academic,China,listening,6.209294736,2024-2025
Academic,China,reading,5.903917584,2024-2025
Academic,China,writing,5.755138861,2024-2025
Academic,China,speaking,5.500282746,2024-2025
Academic,China,overall,5.906781496,2024-2025
Academic,Colombia,listening,6.774084125,2024-2025
Academic,Colombia,reading,6.665988241,2024-2025
Academic,Colombia,writing,6.0011684,2024-2025
Academic,Colombia,speaking,6.431968943,2024-2025
Academic,Colombia,overall,6.530529172,2024-2025
Academic,Egypt,listening,6.605601616,2024-2025
Academic,Egypt,reading,7.06598108,2024-2025
Academic,Egypt,writing,6.103316327,2024-2025
Academic,Egypt,speaking,6.652131165,2024-2025
Academic,Egypt,overall,6.67144983,2024-2025
Academic,France,listening,7.102468269,2024-2025
Academic,France,reading,7.142953896,2024-2025
Academic,France,writing,6.199518387,2024-2025
Academic,France,speaking,6.675437716,2024-2025
Academic,France,overall,6.845432198,2024-2025
Academic,Germany,listening,7.79912303,2024-2025
Academic,Germany,reading,8.103393493,2024-2025
Academic,Germany,writing,6.626080325,2024-2025
Academic,Germany,speaking,7.513917133,2024-2025
Academic,Germany,overall,7.573970513,2024-2025
Academic,Ghana,listening,6.10949591,2024-2025
Academic,Ghana,reading,6.813287641,2024-2025
Academic,Ghana,writing,6.279018351,2024-2025
Academic,Ghana,speaking,7.062513818,2024-2025
Academic,Ghana,overall,6.630389122,2024-2025
Academic,Hong Kong,listening,6.785955514,2024-2025
Academic,Hong Kong,reading,6.981439967,2024-2025
Academic,Hong Kong,writing,6.174216839,2024-2025
Academic,Hong Kong,speaking,6.316932572,2024-2025
Academic,Hong Kong,overall,6.628988587,2024-2025
Academic,India,listening,6.408980015,2024-2025
Academic,India,reading,6.937466362,2024-2025
Academic,India,writing,6.243314826,2024-2025
Academic,India,speaking,6.469706036,2024-2025
Academic,India,overall,6.578616297,2024-2025
Academic,Indonesia,listening,6.892938292,2024-2025
Academic,Indonesia,reading,7.068793351,2024-2025
Academic,Indonesia,writing,6.160308539,2024-2025
Academic,Indonesia,speaking,6.353344495,2024-2025
Academic,Indonesia,overall,6.682960615,2024-2025
Academic,"Iran, Islamic Republic of",listening,6.467504548,2024-2025
Academic,"Iran, Islamic Republic of",reading,6.721101373,2024-2025
Academic,"Iran, Islamic Republic of",writing,6.079543575,2024-2025
Academic,"Iran, Islamic Republic of",speaking,6.656193154,2024-2025
Academic,"Iran, Islamic Republic of",overall,6.544753597,2024-2025
Academic,Italy,listening,7.487970563,2024-2025
Academic,Italy,reading,7.360723889,2024-2025
Academic,Italy,writing,6.245258987,2024-2025
Academic,Italy,speaking,6.653799887,2024-2025
Academic,Italy,overall,7.000424568,2024-2025
Academic,Japan,listening,5.994119473,2024-2025
Academic,Japan,reading,5.932017824,2024-2025
Academic,Japan,writing,5.653386782,2024-2025
Academic,Japan,speaking,5.465995215,2024-2025
Academic,Japan,overall,5.824332962,2024-2025
Academic,Jordan,listening,6.344434094,2024-2025
Academic,Jordan,reading,6.810142059,2024-2025
Academic,Jordan,writing,5.961457848,2024-2025
Academic,Jordan,speaking,6.755589194,2024-2025
Academic,Jordan,overall,6.530449464,2024-2025
Academic,Kazakhstan,listening,6.30128667,2024-2025
Academic,Kazakhstan,reading,6.49606279,2024-2025
Academic,Kazakhstan,writing,5.812532167,2024-2025
Academic,Kazakhstan,speaking,6.146924858,2024-2025
Academic,Kazakhstan,overall,6.253152342,2024-2025
Academic,Kenya,listening,6.359020766,2024-2025
Academic,Kenya,reading,6.883565124,2024-2025
Academic,Kenya,writing,6.313361275,2024-2025
Academic,Kenya,speaking,7.011367245,2024-2025
Academic,Kenya,overall,6.70305455,2024-2025
Academic,"Korea, Republic of",listening,6.506248593,2024-2025
Academic,"Korea, Republic of",reading,6.525726188,2024-2025
Academic,"Korea, Republic of",writing,5.945263829,2024-2025
Academic,"Korea, Republic of",speaking,5.872100878,2024-2025
Academic,"Korea, Republic of",overall,6.276908354,2024-2025
Academic,Kuwait,listening,5.269687864,2024-2025
Academic,Kuwait,reading,5.721028792,2024-2025
Academic,Kuwait,writing,5.281549915,2024-2025
Academic,Kuwait,speaking,5.920822495,2024-2025
Academic,Kuwait,overall,5.611534667,2024-2025
Academic,Malaysia,listening,7.221636921,2024-2025
Academic,Malaysia,reading,7.570917525,2024-2025
Academic,Malaysia,writing,6.455145845,2024-2025
Academic,Malaysia,speaking,6.730835758,2024-2025
Academic,Malaysia,overall,7.060971775,2024-2025
Academic,Mexico,listening,6.677327965,2024-2025
Academic,Mexico,reading,6.736598822,2024-2025
Academic,Mexico,writing,5.98266607,2024-2025
Academic,Mexico,speaking,6.506486245,2024-2025
Academic,Mexico,overall,6.538470141,2024-2025
Academic,Mongolia,listening,6.362037355,2024-2025
Academic,Mongolia,reading,6.7775868,2024-2025
Academic,Mongolia,writing,5.773576258,2024-2025
Academic,Mongolia,speaking,6.227455025,2024-2025
Academic,Mongolia,overall,6.346740002,2024-2025
Academic,Myanmar,listening,6.709967221,2024-2025
Academic,Myanmar,reading,6.92163409,2024-2025
Academic,Myanmar,writing,6.102100279,2024-2025
Academic,Myanmar,speaking,6.220104407,2024-2025
Academic,Myanmar,overall,6.553781717,2024-2025
Academic,Nepal,listening,6.018844503,2024-2025
Academic,Nepal,reading,6.570388583,2024-2025
Academic,Nepal,writing,5.992920297,2024-2025
Academic,Nepal,speaking,6.019725461,2024-2025
Academic,Nepal,overall,6.213704511,2024-2025
Academic,Nigeria,listening,6.357930576,2024-2025
Academic,Nigeria,reading,6.87048663,2024-2025
Academic,Nigeria,writing,6.298006976,2024-2025
Academic,Nigeria,speaking,7.083707025,2024-2025
Academic,Nigeria,overall,6.715063943,2024-2025
Academic,Oman,listening,5.012233802,2024-2025
Academic,Oman,reading,5.198434275,2024-2025
Academic,Oman,writing,5.359965765,2024-2025
