producer,song_count
Dann Huff,59
Scott Hendricks,31
Jay Joyce,28
Joey Moi,28
Ross Copperman,24
Shane McAnally,21
Michael Knox,14
Jeff Stevens,14
Zach Crowell,14
Byron Gallimore,13
busbee,13
Kenny Chesney,12
Buddy Cannon,12
Keith Urban,12
Jody Stevens,11
Frank Rogers,11
Jesse Frasure,11
Tim McGraw,10
Michael Carter,10
Jeremy Stover,9
Brad Paisley,9
Dave Cobb,8
Frank Liddell,8
Forest Glen Whitehead,8
Corey Crowder,8
Glenn Worf,8
Thomas Rhett,8
Mickey Jack Cones,7
Luke Wooten,7
Jason Massey,7
Dan Smyers,7
Bart Butler,6
Chris DeStefano,6
Chris Young,6
Marshall Altman,6
Lindsay Rimes,6
Brett Eldredge,6
Jon Pardi,6
Lee Brice,5
Mark Bright,5
Mark Miller,5
Chuck Ainlay,5
Julian Raymond,5
Nathan Chapman,5
Derek George,5
Chris Stapleton,5
Big Kenny,4
John Rich,4
Kristian Bush,4
Jimmy Robbins,4
Maren Morris,4
Hunter Hayes,3
Kyle Jacobs,3
Tony Brown,3
Julian King,3
Jon Stone,3
Jim Catino,3
Rascal Flatts,3
In The Arena,3
Granger Smith,3
Eric Masse,3
Julian Bunetta,3
Luke Laird,2
Brent Anderson,2
New Voice Entertainment,2
Jerrod Niemann,2
Brett James,2
Jimmie Lee Sloas,2
James Stroud,2
Justin Niebank,2
Brett Beavers,2
George Strait,2
Jimmy Ritchey,2
Seth Mosley,2
Lady Antebellum,2
Joe London,2
Chris DuBois,2
Chris Janson,2
Sara Evans,1
Zac Brown,1
Tom Tapley,1
Jeff Bhasker,1
Howard Benson,1
John Osborne,1
Greg Wells,1
Angelo Petraglia,1
Sheryl Crow,1
Hillary Scott,1
Tyler Johnson,1
Matt Serletic,1
Frank Lidell,1
RedOne,1
Matt Rovey,1
Dave Grohl,1
Toby Keith,1
Carson Chamberlain,1
Jim Catino. Julian King,1
Kenny Greenberg,1
Nicolle Galyon,1
Ricky Reed,1
Keith Stegall,1
Aaron Scherz,1
T. J. Osborne,1
Eli Young Band,1
Danny Orton,1
Brad Hill,1
Matt McClure,1
Charles Kelley,1
Lee Bruce,1
Dave Haywood,1
