response_id,term,probability,order
5177,Little Chance,20,1
5177,Almost No Chance,9,2
5177,Remote Chance,18,3
5177,May Happen,44,4
5177,Chances are Slight,27,5
5177,Almost Certain,85,6
5177,Likely,74,7
5177,Unlikely,33,8
5177,Very Good Chance,80,9
5177,Will Happen,93,10
5177,Improbable,10,11
5177,Highly Likely,90,12
5177,Probable,80,13
5177,Realistic Possibility,68,14
5177,About Even,45,15
5177,Highly Unlikely,10,16
5177,Could Happen,66,17
5177,Might Happen,66,18
5177,Better than Even,55,19
5176,Better than Even,60,1
5176,Highly Likely,90,2
5176,Almost No Chance,5,3
5176,Might Happen,55,4
5176,Remote Chance,1,5
5176,Realistic Possibility,75,6
5176,Improbable,25,7
5176,Probable,75,8
5176,Very Good Chance,80,9
5176,Likely,75,10
5176,Highly Unlikely,10,11
5176,Little Chance,5,12
5176,May Happen,55,13
5176,Could Happen,50,14
5176,Chances are Slight,15,15
5176,Will Happen,100,16
5176,Almost Certain,99,17
5176,About Even,50,18
5176,Unlikely,20,19
5175,Little Chance,10,1
5175,Unlikely,40,2
5175,Likely,90,3
5175,Might Happen,60,4
5175,Highly Likely,95,5
5175,Will Happen,100,6
5175,Could Happen,35,7
5175,Highly Unlikely,95,8
5175,Almost Certain,99,9
5175,Improbable,5,10
5175,About Even,50,11
5175,Very Good Chance,85,12
5175,Almost No Chance,1,13
5175,Probable,70,14
5175,Realistic Possibility,50,15
5175,Remote Chance,5,16
5175,Better than Even,60,17
5175,Chances are Slight,10,18
5175,May Happen,25,19
5174,Unlikely,10,1
5174,About Even,50,2
5174,Highly Likely,90,3
5174,Highly Unlikely,10,4
5174,Almost No Chance,1,5
5174,May Happen,30,6
5174,Better than Even,60,7
5174,Almost Certain,95,8
5174,Chances are Slight,5,9
5174,Little Chance,10,10
5174,Could Happen,40,11
5174,Will Happen,95,12
5174,Improbable,5,13
5174,Remote Chance,10,14
5174,Realistic Possibility,80,15
5174,Might Happen,20,16
5174,Likely,80,17
5174,Very Good Chance,90,18
5174,Probable,80,19
5173,Almost Certain,99,1
5173,Very Good Chance,92,2
5173,Probable,80,3
5173,Likely,80,4
5173,Could Happen,20,5
5173,Chances are Slight,10,6
5173,Highly Likely,90,7
5173,Improbable,3,8
5173,Unlikely,10,9
5173,Better than Even,60,10
5173,Might Happen,40,11
5173,May Happen,20,12
5173,Little Chance,10,13
5173,Will Happen,100,14
5173,Remote Chance,5,15
5173,Highly Unlikely,2,16
5173,About Even,50,17
5173,Realistic Possibility,50,18
5173,Almost No Chance,1,19
5172,Unlikely,20,1
5172,Realistic Possibility,25,2
5172,Better than Even,60,3
5172,Might Happen,25,4
5172,About Even,50,5
5172,Improbable,10,6
5172,Highly Unlikely,5,7
5172,May Happen,30,8
5172,Little Chance,5,9
5172,Highly Likely,90,10
5172,Will Happen,99,11
5172,Almost No Chance,2,12
5172,Chances are Slight,8,13
5172,Remote Chance,5,14
5172,Could Happen,15,15
5172,Probable,70,16
5172,Almost Certain,95,17
5172,Likely,70,18
5172,Very Good Chance,75,19
5171,Almost Certain,80,1
5171,Very Good Chance,75,2
5171,Will Happen,95,3
5171,Almost No Chance,35,4
5171,Better than Even,60,5
5171,Probable,75,6
5171,Likely,75,7
