EXPID,PEAKID,YEAR,SEASON,SEASON_FACTOR,HOST,HOST_FACTOR,ROUTE1,ROUTE2,ROUTE3,ROUTE4,NATION,LEADERS,SPONSOR,SUCCESS1,SUCCESS2,SUCCESS3,SUCCESS4,ASCENT1,ASCENT2,ASCENT3,ASCENT4,CLAIMED,DISPUTED,COUNTRIES,APPROACH,BCDATE,SMTDATE,SMTTIME,SMTDAYS,TOTDAYS,TERMDATE,TERMREASON,TERMREASON_FACTOR,TERMNOTE,HIGHPOINT,TRAVERSE,SKI,PARAPENTE,CAMPS,ROPE,TOTMEMBERS,SMTMEMBERS,MDEATHS,TOTHIRED,SMTHIRED,HDEATHS,NOHIRED,O2USED,O2NONE,O2CLIMB,O2DESCENT,O2SLEEP,O2MEDICAL,O2TAKEN,O2UNKWN,OTHERSMTS,CAMPSITES,ROUTEMEMO,ACCIDENTS,ACHIEVMENT,AGENCY,COMRTE,STDRTE,PRIMRTE,PRIMMEM,PRIMREF,PRIMID,CHKSUM
EVER20101,EVER,2020,1,Spring,2,China,N Col-NE Ridge,NA,NA,NA,China,Tibetan Rope-Fixing,Tibetan Rope-Fixing Everest North 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lhasa->Tingri->Everest BC,NA,2020-05-26,1515,0,0,NA,1,Success (main peak),NA,8849,FALSE,FALSE,FALSE,3,0,0,0,0,6,6,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"BC,ABC,C1,C2,C3,Smt(26/05)",NA,NA,NA,Holy Mountain Adventure,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2465291
EVER20102,EVER,2020,1,Spring,2,China,N Col-NE Ridge,NA,NA,NA,China,Ci Luo (Tselo),Chinese Mount Everest Survey Team,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,2020-05-27,0945,0,0,NA,1,Success (main peak),NA,8849,FALSE,FALSE,FALSE,3,0,12,8,0,0,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"BC,ABC,C1,C2,C3,Smt(27/05)",221011,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2465292
EVER20103,EVER,2020,1,Spring,2,China,N Col-NE Ridge,NA,NA,NA,China,Tsering Samdrup,Holy Mountain Adventure Everest Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lhasa->Tingri->Everest BC,2020-04-23,2020-05-28,0545,35,38,2020-05-31,1,Success (main peak),NA,8849,FALSE,FALSE,FALSE,3,0,20,14,0,22,21,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"BC(23/04,5200m),IC(26/04,5800m),ABC(05/01,6500m),C1(25/05,7028m),C2(26/05,7790m),C3(27/05,8300m),Smt(28/05)",203869,NA,NA,Holy Mountain Adventure,TRUE,TRUE,FALSE,FALSE,FALSE,NA,2465293
AMAD20301,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,Nepal,Chhang Dawa Sherpa,Seven Summit Treks Ama Dablam Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Canada, Czech Republic, France, Poland, Russia, Switzerland, Ukraine, USA",NA,2020-11-09,2020-11-10,1300,1,0,NA,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,14,9,0,19,14,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(09/11,4450m),C1(5600m),C2(5900m),Smt(10,12-13,15/11)",NA,NA,NA,Seven Summit Treks,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463299
AMAD20302,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,USA,Garrett Madison,Madison Mountaineering Ama Dablam Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Canada, Qatar",Lukla->Pangboche->Ama Dablam BC,2020-11-01,2020-11-10,1300,9,11,2020-11-12,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,6,6,0,8,8,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(01/11,4700m),C1(04/11,5600m),C2(10/11,6000m),Smt(10-11/11)",29755,NA,NA,Himalayan Guides,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463299
AMAD20303,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,UK,Jon Gupta,Himalayan Guides Ama Dablam Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lukla->Namche->Dingboche->Chhukung Ri->Pangboche->Ama Dablam BC,2020-11-15,2020-12-01,1243,16,17,2020-12-02,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,2,2,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(15/11,4400m),ABC(17/11,5350m),C1(18/11,5800m),C2(26/11,6000m),Smt(01/12)",107752,NA,NA,Himalayan Guides,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463320
AMAD20304,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,UK,"Kenton Cool, Tim Mosedale",Himalayan Guides Ama Dablam Expedition 2020,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lukla->Namche->Dingboche->Chhukung Ri->Pangboche->Ama Dablam BC,2020-11-16,2020-11-27,NA,11,13,2020-11-29,4,"Bad weather (storms, high winds)",Abandoned at 6650m due to high winds,6650,FALSE,FALSE,FALSE,2,0,4,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(16/11,4500m),ABC(17/11/5400m),C1(19/12,5700m),C2(26/11,6000m),xxx(27/11,6650m)",29661,NA,NA,Himalayan Guides,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463316
AMAD20305,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,Italy,Manuel Villani,Furtenbach Adventures Ama Dablam Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,Lukla->Pangboche->Ama Dablam BC,2020-11-26,2020-11-29,0930,3,4,2020-11-30,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,1,1,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(26/11,4567m),C1(27/11,5700m),C2(28/11,5900m),Smt(29/11)",17154,NA,NA,Iceland Trekking,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463318
AMAD20306,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,Belgium,Damien Francois,Ever Quest Ama Dablam Expedition 2020,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,0,0,NA,12,Did not attempt climb,Did not attempt due to illness after Lobuche,0,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Climbed Lobuche,NA,NA,NA,NA,Ever Quest Expeditions,TRUE,FALSE,FALSE,FALSE,FALSE,NA,4135
AMAD20307,AMAD,2020,3,Autumn,1,Nepal,SW Ridge,NA,NA,NA,India,Debasish Biswas,Seven Summit Treks Ama Dablam Expedition 2020,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Austria, UK",Lukla->Pangboche->Ama Dablam BC,2020-11-20,2020-11-30,0615,10,0,NA,1,Success (main peak),NA,6814,FALSE,FALSE,FALSE,2,0,6,1,0,6,3,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(20/11,4450m),C1(5600m),C2(28/11,5900m),Smt(30/11)",69150,NA,NA,Seven Summit Treks,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2463318
