PEAKID,PKNAME,PKNAME2,LOCATION,HEIGHTM,HEIGHTF,HIMAL,HIMAL_FACTOR,REGION,REGION_FACTOR,OPEN,UNLISTED,TREKKING,TREKYEAR,RESTRICT,PHOST,PHOST_FACTOR,PSTATUS,PSTATUS_FACTOR,PEAKMEMO,PYEAR,PSEASON,PEXPID,PSMTDATE,PCOUNTRY,PSUMMITERS,PSMTNOTE,REFERMEMO,PHOTOMEMO
AMAD,Ama Dablam,Amai Dablang,Khumbu Himal,6814,22356,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,8,1961,1,AMAD61101,Mar 13,"New Zealand, USA, UK","Mike Gill, Wally Romanes, Barry Bishop, Michael Ward",NA,NA,13
AMPG,Amphu Gyabjen,Amphu Gyabien,Khumbu Himal (N of Ama Dablam),5630,18471,12,Khumbu,2,Khumbu-Rolwaling-Makalu,TRUE,FALSE,FALSE,NA,Opened in 2002,1,Nepal only,2,Climbed,20,1953,1,AMPG53101,Apr 11,UK,"John Hunt, Tom Bourdillon",NA,NA,NA
ANN1,Annapurna I,NA,Annapurna Himal,8091,26545,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,23,1950,1,ANN150101,Jun 03,France,"Maurice Herzog, Louis Lachenal",NA,25,26
ANN2,Annapurna II,NA,Annapurna Himal,7937,26040,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,31,1960,1,ANN260101,May 17,"UK, Nepal","Richard Grant, Chris Bonington, Ang Nyima Sherpa",NA,33,34
ANN3,Annapurna III,NA,Annapurna Himal,7555,24787,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,35,1961,1,ANN361101,May 06,India,"Mohan S. Kohli, Sonam Gyatso, Sonam Girmi",NA,NA,37
ANN4,Annapurna IV,NA,Annapurna Himal,7525,24688,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,40,1955,1,ANN455101,May 30,W Germany,"Heinz Steinmetz, Harald Biller, Juergen Wellenkamp",NA,NA,42
ANNE,Annapurna I East,NA,Annapurna Himal (ENE of Annapurna I),8026,26332,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Requires permit for Annapurna I,1,Nepal only,2,Climbed,44,1974,1,ANNE74101,Apr 29,Spain,"Jose Manuel Anglada Nieto, Jorge Pons Sangines, Emilio Givis Abad",NA,NA,45
ANNM,Annapurna I Middle,NA,Annapurna Himal (ENE of Annapurna I),8051,26414,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,Requires permit for Annapurna I,1,Nepal only,2,Climbed,46,1980,3,ANNM80301,Oct 03,W Germany,"Udo Boening, Ludwig Greissl, Heinz Oberrauch",NA,NA,NA
ANNS,Annapurna South,"Annapurna Dakshin, Moditse",Annapurna Himal (S of Annapurna I and Fang),7219,23684,1,Annapurna,5,Annapurna-Damodar-Peri,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,48,1964,3,ANNS64301,Oct 15,"Japan, Nepal","Shiochiro Uyeo, Mingma Tsering Sherpa",NA,NA,50
APIM,Api Main,NA,Api Himal,7132,23399,2,Api/Byas Risi/Guras,7,Kanjiroba-Far West,TRUE,FALSE,FALSE,NA,NA,1,Nepal only,2,Climbed,54,1960,1,APIM60101,May 10,"Japan, Nepal","Katsutoshi Hirabayashi, Gyaltsen Norbu Sherpa",1st ascent claimed by UK (H. S. Landor) in 1899 but probably reached only 5000m,NA,57
