make,model,vehicle_year,chassis,extra,vehicle_class,origin_country,built_in,made_for,movie_title,movie_type,movie_year,movie_year_end,vehicle_url,movie_url
Acura,NSX,1991,NA1,NA,Coupé,Japan,NA,United States of America,爆走NSX かっとびブギ,Movie,1992,NA,https://www.imcdb.org/vehicle_2071834-Acura-NSX-NA1-1991.html,https://www.imcdb.org/movie_1004526262-%E7%88%86%E8%B5%B0NSX-%E3%81%8B%E3%81%A3%E3%81%A8%E3%81%B3%E3%83%96%E3%82%AE.html
AdiPutro,Jetbus 2 HD,2014,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043690-AdiPutro-Jetbus-2-HD-2014.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AdiPutro,Jetbus 2 SHD,2014,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043680-AdiPutro-Jetbus-2-SHD-2014.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AdiPutro,Jetbus 3,2017,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043745-AdiPutro-Jetbus-3-2017.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AdiPutro,Jetbus HD,2011,NA,NA,Single-deck,Indonesia,NA,NA,Dunia Loko,Animation Series,2019,2026,https://www.imcdb.org/vehicle_2043679-AdiPutro-Jetbus-HD-2011.html,https://www.imcdb.org/movie_1004526086-Dunia-Loko.html
AEC,Regal IV,1953,NA,Alexander,Single-deck,United Kingdom,NA,NA,Busman's Holiday,Documentary,1959,NA,https://www.imcdb.org/vehicle_714178-AEC-Regal-IV-1953.html,https://www.imcdb.org/movie_4723988-Busman-s-Holiday.html
AEC,Regent III,1949,NA,RT,Double-deck,United Kingdom,NA,NA,Summer Holiday,Movie,1963,NA,https://www.imcdb.org/vehicle_71267-AEC-Regent-III-1949.html,https://www.imcdb.org/movie_57541-Summer-Holiday.html
AEC,Regent III,1952,NA,Park Royal 'Roofbox' RT2884,Double-deck,United Kingdom,NA,NA,L'or du duc,Movie,1965,NA,https://www.imcdb.org/vehicle_2040011-AEC-Regent-III-1952.html,https://www.imcdb.org/movie_59551-L-or-du-duc.html
AEC,Routemaster,NA,NA,NA,Double-deck,United Kingdom,NA,NA,Perpetual Motion: The Routemaster Bus,Documentary,1992,NA,https://www.imcdb.org/vehicle_500942-AEC-Routemaster.html,https://www.imcdb.org/movie_3962612-Perpetual-Motion--The-Routemaster-Bus.html
Aero,500 10HP,NA,NA,'Klingeling',Convertible,Czechia,NA,NA,Klaun Ferdinand a raketa,Movie,1963,NA,https://www.imcdb.org/vehicle_1469894-Aero-500-10HP.html,https://www.imcdb.org/movie_57228-Klaun-Ferdinand-a-raketa.html
