date,discipline_code,discipline_name,event_code,event_description,start_datetime_local,end_datetime_local,start_datetime_utc,end_datetime_utc,is_medal_event,is_training,venue_code,venue_name,venue_slug,location_name,location_code,session_code,estimated_start,day_of_week,start_time,end_time
2026-02-04,ALP,Alpine Skiing,ALPMDH----------------TRNO000100--,Men's Downhill 1st Official Training,2026-02-04T11:30:00Z,2026-02-04T13:30:00Z,2026-02-04T10:30:00Z,2026-02-04T12:30:00Z,FALSE,TRUE,SSC,Stelvio Ski Centre,stelvio-ski-centre,Stelvio Ski Centre-ALP Course,SAL,OALPTA,FALSE,Wednesday,11:30:00,13:30:00
2026-02-04,ALP,Alpine Skiing,ALPMDH----------------TRNO000200--,Men's Downhill 2nd Official Training,2026-02-05T11:30:00Z,2026-02-05T13:30:00Z,2026-02-05T10:30:00Z,2026-02-05T12:30:00Z,FALSE,TRUE,SSC,Stelvio Ski Centre,stelvio-ski-centre,Stelvio Ski Centre-ALP Course,SAL,OALPTC,FALSE,Wednesday,11:30:00,13:30:00
2026-02-04,ALP,Alpine Skiing,ALPWDH----------------TRNO000100--,Women's Downhill 1st Official Training,2026-02-05T11:30:00Z,2026-02-05T13:30:00Z,2026-02-05T10:30:00Z,2026-02-05T12:30:00Z,FALSE,TRUE,CAL,Tofane Alpine Skiing Centre,tofane-alpine-skiing-centre,Tofane Alpine Skiing Centre,CAL,OALPTB,FALSE,Wednesday,11:30:00,13:30:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000101--,Mixed Doubles Round Robin Session 1,2026-02-04T19:05:00Z,2026-02-04T21:05:00Z,2026-02-04T18:05:00Z,2026-02-04T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet A,CUA,OCUR01,FALSE,Wednesday,19:05:00,21:05:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000102--,Mixed Doubles Round Robin Session 1,2026-02-04T19:05:00Z,2026-02-04T21:05:00Z,2026-02-04T18:05:00Z,2026-02-04T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR01,FALSE,Wednesday,19:05:00,21:05:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000103--,Mixed Doubles Round Robin Session 1,2026-02-04T19:05:00Z,2026-02-04T21:05:00Z,2026-02-04T18:05:00Z,2026-02-04T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR01,FALSE,Wednesday,19:05:00,21:05:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000104--,Mixed Doubles Round Robin Session 1,2026-02-04T19:05:00Z,2026-02-04T21:05:00Z,2026-02-04T18:05:00Z,2026-02-04T20:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet D,CUD,OCUR01,FALSE,Wednesday,19:05:00,21:05:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000201--,Mixed Doubles Round Robin Session 2,2026-02-05T10:05:00Z,2026-02-05T12:05:00Z,2026-02-05T09:05:00Z,2026-02-05T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet A,CUA,OCUR02,FALSE,Wednesday,10:05:00,12:05:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000202--,Mixed Doubles Round Robin Session 2,2026-02-05T10:05:00Z,2026-02-05T12:05:00Z,2026-02-05T09:05:00Z,2026-02-05T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet B,CUB,OCUR02,FALSE,Wednesday,10:05:00,12:05:00
2026-02-04,CUR,Curling,CURXTEAM2-------------PREL000203--,Mixed Doubles Round Robin Session 2,2026-02-05T10:05:00Z,2026-02-05T12:05:00Z,2026-02-05T09:05:00Z,2026-02-05T11:05:00Z,FALSE,FALSE,CCU,Cortina Curling Olympic Stadium,cortina-curling-olympic-stadium,Curling Stadium - Sheet C,CUC,OCUR02,FALSE,Wednesday,10:05:00,12:05:00
