lottery_slug,draw_date,draw_time,winning_numbers,jackpot_amount,status,published_at,source_name,source_url
2d-lotto,2026-07-20,9PM,31-08,,published,2026-07-20T21:30:00+08:00,PhilNews EZ2 Result Today,https://philnews.ph/2026/07/20/ez2-result-today-monday-july-20-2026/
2d-lotto,2026-07-20,5PM,18-08,,published,2026-07-20T21:30:00+08:00,PhilNews EZ2 Result Today,https://philnews.ph/2026/07/20/ez2-result-today-monday-july-20-2026/
2d-lotto,2026-07-20,2PM,14-03,,published,2026-07-20T21:30:00+08:00,PhilNews EZ2 Result Today,https://philnews.ph/2026/07/20/ez2-result-today-monday-july-20-2026/
2d-lotto,2026-07-19,9PM,19-17,,published,2026-07-19T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-19,5PM,15-28,,published,2026-07-19T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-19,2PM,03-05,,published,2026-07-19T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-18,9PM,19-10,,published,2026-07-18T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-18,5PM,03-08,,published,2026-07-18T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-18,2PM,15-05,,published,2026-07-18T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-17,9PM,15-22,,published,2026-07-17T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-17,5PM,15-06,,published,2026-07-17T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-17,2PM,01-25,,published,2026-07-17T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-16,9PM,16-27,,published,2026-07-16T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-16,5PM,27-06,,published,2026-07-16T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-16,2PM,16-05,,published,2026-07-16T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-15,9PM,14-25,,published,2026-07-15T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-15,5PM,07-16,,published,2026-07-15T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-15,2PM,10-29,,published,2026-07-15T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-14,9PM,10-23,,published,2026-07-14T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-14,5PM,22-03,,published,2026-07-14T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-14,2PM,21-06,,published,2026-07-14T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-13,9PM,11-23,,published,2026-07-13T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-13,5PM,26-09,,published,2026-07-13T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-13,2PM,30-13,,published,2026-07-13T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-12,9PM,27-11,,published,2026-07-12T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-12,5PM,20-11,,published,2026-07-12T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-12,2PM,06-22,,published,2026-07-12T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-11,9PM,10-16,,published,2026-07-11T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-11,5PM,18-01,,published,2026-07-11T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-11,2PM,20-05,,published,2026-07-11T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-10,9PM,29-14,,published,2026-07-10T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-10,5PM,17-06,,published,2026-07-10T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-10,2PM,16-30,,published,2026-07-10T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-09,9PM,04-18,,published,2026-07-09T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-09,5PM,17-07,,published,2026-07-09T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
2d-lotto,2026-07-09,2PM,15-18,,published,2026-07-09T21:30:00+08:00,LottoPCSO History Summary,https://www.lottopcso.com/ez2-result-today-lotto-history-and-summary/
