season_title,season_num,number_of_episodes,air_date_first_ep,air_date_last_ep,producer,IMDB_rating
Mighty Morphin (Season 1),1,60,1993-08-28,1994-05-23,Saban,6.5
Mighty Morphin (Season 2),2,52,1994-07-21,1995-05-20,Saban,6.5
Mighty Morphin (Season 3),3,33,1995-09-02,1995-11-27,Saban,6.5
Zeo,4,50,1996-04-20,1996-11-27,Saban,6.6
Turbo,5,45,1997-04-19,1997-11-24,Saban,5.7
In Space,6,43,1998-02-06,1998-11-21,Saban,7.3
Lost Galaxy,7,45,1999-02-06,1999-12-18,Saban,6.9
Lightspeed Rescue,8,40,2000-02-12,2000-11-18,Saban,6.5
Time Force,9,40,2001-02-03,2001-11-17,Saban,7.1
Wild Force,10,40,2002-02-09,2002-11-16,Saban/Disney,6.3
Ninja Storm,11,38,2003-02-15,2003-11-15,Disney,6.4
Dino Thunder,12,38,2004-02-14,2004-11-20,Disney,6.8
S.P.D.,13,38,2005-02-05,2005-11-14,Disney,6.7
Mystic Force,14,32,2006-02-20,2006-11-13,Disney,6.7
Operation Overdrive,15,32,2007-02-26,2007-11-12,Disney,5.5
Jungle Fury,16,32,2008-02-18,2008-11-03,Disney,6.6
R.P.M.,17,32,2009-03-07,2009-12-26,Disney,6.6
Samurai,18,22,2011-02-07,2011-12-10,Saban Brands,5.1
Super Samurai,19,22,2012-02-18,2012-12-15,Saban Brands,5.1
Megaforce,20,22,2013-02-02,2013-12-07,Saban Brands,5.7
Super Megaforce,21,20,2014-02-15,2014-11-22,Saban Brands,5.7
Dino Charge,22,22,2015-02-07,2015-12-12,Saban Brands,6.5
Dino Super Charge,23,22,2016-01-30,2016-12-10,Saban Brands,6.5
Ninja Steel,24,22,2017-01-21,2017-12-01,Saban Brands,6
Super Ninja Steel,25,22,2018-01-27,2018-12-01,Saban Brands,6
Beast Morphers (Season 1),26,22,2019-03-02,2019-12-14,Saban Brands,6.8
Beast Morphers (Season 2),27,22,2020-02-22,2020-12-12,Saban Brands,6.8
Dino Fury,28,44,2021-09-13,2022,Saban Brands,6.8
