origin,make,model,length,width,height,seating,trunk,economy,horsepower,price,mass,performance,type,enginetype
Germany,BMW,3 Series Sedan,4.713,1.827,1.44,5,59,7.6,386,164257,1653,4.3,Sedan,Petrol
Germany,BMW,X1,4.505,1.845,1.642,5,505,6.6,313,264000,1701,5.4,SUV,Petrol
Germany,Audi,RS Q8,5.012,1.694,1.998,5,605,12.1,600,630000,2490,3.6,SUV,Petrol
Germany,Audi,RS3,4.542,1.851,1.412,5,321,8.7,400,310000,1565,3.8,Sedan,Petrol
Germany,Audi,A3,4.456,1.96,1.416,5,425,6.5,180,165000,1325,6.7,Sedan,Petrol
Germany,Mercedes,Maybach,5.469,1.921,1.51,4,500,13.3,612,1281000,2376,4.1,Sedan,Petrol
Germany,Mercedes,G-Wagon,4.613,1.984,1.969,5,480,13.1,585,1011500,2588,4.3,SUV,Petrol
Germany,Mercedes,EQS,5.216,1.926,1.512,5,610,NA,333,564500,2495,5.6,SUV,Electric
Germany,Mercedes,GLA,4.41,1.834,1.611,5,435,5.6,163,209500,1565,6.8,SUV,Petrol
Germany,Mercedes,GLB 200,4.633,4.633,1.659,5,565,7.5,221,168997,1656,9,SUV,Hybrid
Germany,Porsche,991 Carrera S,4.51,1.852,1.3,4,132,11.2,473,530000,1495,3.3,Coupe,Petrol
Germany,Porsche,Cayenne,4.92,1.98,1.7,5,627,11,453,371500,2160,4.4,SUV,Petrol
Germany,Porsche,Macan Standard,4.681,1.92,1.62,5,488,19,252,137000,2580,4.5,SUV,Petrol
Germany,Volkswagen,Touareg,4.8,1.9,1.7,5,300,9.5,250,199000,2164,8,SUV,Petrol
Germany,Volkswagen,Golf,4.287,1.789,1.478,5,245,6.5,245,139000,1446,4.8,Hatchback,Petrol
Germany,Volkswagen,Tiguan,4.486,1.839,1.632,5,810,6.7,150,99900,1703,7.5,SUV,Petrol
Germany,Volkswagen,T-Roc,4.24,1.819,1.573,5,445,7.3,150,88900,1516,8,SUV,Petrol
Italy,Bugatti,Chiron,4.544,2.037,1.212,2,45,22.3,1578,13103960,1996,2.4,Coupe,Petrol
Italy,Bugatti,Centodieci,4.544,2.047,1.2,2,0,22.5,1600,33000000,1976,2.4,Coupe,Petrol
Italy,Maserati,Quattroporte,5.262,1.948,1.481,5,530,9.1,350,458000,1920,5.5,Sedan,Petrol
Italy,Maserati,Ghibli,4.971,1.945,1.461,5,500,8.9,330,362500,1940,5.7,Sedan,Petrol
Italy,Maserati,Grecale,4.846,1.948,1.67,5,535,8.7,300,289000,1895,5.6,SUV,Petrol
Japan,Toyota,Yaris,4.425,1.74,1.48,5,286,5.1,97,57300,1135,11,Sedan,Petrol
Japan,Toyota,Raize,4.03,1.71,1.635,5,369,5,87,57700,1680,12,SUV,Petrol
Japan,Toyota,RAV4 Adventure,4.61,1.865,1.69,5,1085,7.3,203,130900,1583,8.2,SUV,Petrol
Japan,Toyota,Rav4 Hybrid,4.6,1.855,1.685,5,1085,4.1,219,117700,1674,7.5,SUV,Hybrid
Japan,Toyota,Fortuner,4.795,1.855,1.835,7,348,12.4,164,124000,2620,12,SUV,Petrol
Japan,Toyota,Supra,4.379,1.854,1.292,2,290,7.2,382,220000,1410,4.1,Coupe,Petrol
Japan,Honda,Civic Type R,4.594,1.89,1.407,5,609,9.8,315,189999,1446,5.4,Hatchback,Petrol
Japan,Honda,CR-V,4.586,1.855,1.678,5,587,6.4,184,119999,1575,7.5,SUV,Petrol
Japan,Honda,City,4.553,1.748,1.467,5,506,7.5,118,61999,1178,10.9,Sedan,Petrol
Japan,Lexus,RC F,4.695,2.069,1.395,4,66,11.5,471,320000,1770,4.5,Coupe,Petrol
Japan,Lexus,LC 500,4.759,1.92,1.346,4,197,12.3,471,395000,1970,4.4,Coupe,Petrol
Japan,Lexus,UX 200,4.495,1.84,1.52,7,371,5.8,169,137000,1622,4.4,SUV,Petrol
Japan,Lexus,LX,5.1,1.9,1.895,7,174,14.2,509,475000,2660,5.8,SUV,Petrol
Japan,Mazda,MX-5,3.914,1.735,1.235,2,127,8.1,181,140000,1099,6.5,Sedan,Petrol
Japan,Mazda,CX-5,4.55,1.84,1.675,5,824,6.8,152,105000,1492,9.4,SUV,Petrol
Japan,Mazda,3,4.66,1.795,1.44,5,450,5.5,153,81500,1427,8.5,Sedan,Petrol
Japan,Mazda,CX-3,4.275,1.765,1.535,5,264,6.3,148,72500,1294,9,SUV,Petrol
Japan,Mitsubishi,Montero,4.785,1.815,1.8,7,131,7.7,181,117000,2045,9.7,SUV,Petrol
Japan,Mitsubishi,Xpander,4.475,1.75,1.695,7,781,6.7,105,65000,1255,12.5,SUV,Petrol
Japan,Mitsubishi,Attrage,4.245,1.67,1.515,5,450,4.8,76,45000,945,14,Sedan,Petrol
